"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA  SUCESORES","4357994","CONTECON","38AV7C","05/06/2025","7:00","40 HC / 6828 KG","OOCU7968638","25-16-1786-5001855","WANZL MEXICO ","MANZANILLO","QUERETARO","ANTONIO PRECIADO","21AX4Y / 74UT5W","E - 1801","CIMA","ENTREGADO","10/06/2025","S 1442","DD 767 / CCP 745","","","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA  SUCESORES","4357987","CONTECON","19BD1B","05/06/2025","7:00","40 HC - 12277 KG / 12277 KG","SEKU4682495 / GESU5917770","25-16-1786-5001852","WANZL MEXICO ","MANZANILLO","QUERETARO","PABLO","19BD1B / 30UW5K, 31UW5K","R - 1802 - 2","CIMA","ENTREGADO","10/06/2025","S 1444","DD 764 / CCP 746","","","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA  SUCESORES","4357992","CONTECON","64AK5A","05/06/2025","7:00","40 HC - 6828 KG / 12277 KG","SEKU4064291 / OOLU9727050","25-16-1786-5001854","WANZL MEXICO ","MANZANILLO","QUERETARO","OSCAR ZUÑIGA","38AV7C / 59UP9N , 10UL5N","F - 1803 - 2","CONTECON - CIMA","ENTREGADO","09/06/2025","S 1441","DD 766 / CCP 744","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","----","----","-------","59BF5E","05/06/2025","10:00","5 PALLETS / 549.96 KG","CARGA SUELTA ","25-51-3624-5318427","YAZAKI","LAZARO C","DURANGO","ROBERTO","59BF5E","CTA TERCEROS A - LCR 122","-----","ENTREGADO","06/06/2025","SEF 128","SEF DD 33","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","4361732","CONTECON","38AV7C","06/06/2025","13:00","40 HC / 27666 KG","TXGU7030432","25-16-3879-5003775","A DE COCO","MANZANILLO","TECOMAN","ANTONIO PRECIADO","21AX4Y / 75UT5W","R - 1804","CIMA","ENTREGADO","09/06/2025","S 1443","DD 770","","","","","","","","","","","","","","",""
"","FLX LOGISTIC - DANIEL MESTA","ALIANZA ESTRATEGICA","4363957","CONTECON","19BD1B","07/06/2025","13:00","40 HC - 4200 KG / 4500 KG ","BSIU9522003 / CSNU7179135","25-16-1641-5005320","RADIADORES FRONTERA","MANZANILLO","CHIHUAHUA","PABLO/ QUEMADA","19BD1B / 30UW5K, 31UW5K","A - 1805 - 2","------","QUEMADA","09/06/2025","------","DD 772","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","----","ACCESSA","52BG9A","07/06/2025","8:00","8 PALLETS / 2249 KG","CARGA SUELTA","REF: S00019214","YAZAKI","MANZANILLO","SILAO","JOSE","52BG9A","B - 1806","------","ENTREGADO","09/06/2025","SEF 129","SEF CCP 74","","","","","","","","","","","","","","",""
"","GUILLERMO LIRA","COORPORATIVO INTERNACIONAL","1104288","TAP","30BA6K","09/06/2025","9:00","1 PALLET / 666 KG","CARGA SUELTA","25-16-3807-5003771","HERRAMENTAL - ARGO","MANZANILLO","QUERETARO","ROBERTO","30BA6K","A - 1807","------","ENTREGADO","10/06/2025","SEF 126","DD 771","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","----","----","---","-----","09/06/2025","----","2 PALLETS / 672 KG","CARGA SUELTA / REF: W00000309","25-51-3624-5317619","YAZAKI","SILAO","LAZARO C","JOSE","52BG9A","C - 1808","------","ENTREGADO","10/06/2025","SEF 130 / S 1471","","","PEND FACTURAR PROXIMA SEMANA","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA SUCESORES","4368261","CONTECON","38AV7C","11/06/2025","8:00","40 HC - 9552.5 KG / 9552.5 KG"," FFAU3496807 / CCLU7688134","25-16-1786-5001856","WANZL MEXICO","MANZANILLO","QUERETARO","OSCAR ZUÑIGA","38AV7C / 59UP9N , 10UL5N","O - 1809 - 2","CONTECON - CIMA","ENTREGADO","12/06/2025","S 1445","DD 773 / CCP 747","","","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA SUCESORES","4368282","CONTECON","06BF7E","11/06/2025","8:00","40 HC - 9552.5 KG / 9552.5 KG","FCIU9663088 / OOLU9811726","25-16-1786-5001856","WANZL MEXICO","MANZANILLO","QUERETARO","ANTONIO ZUÑIGA","06BF7E /  16UP6N, 81UY2G","N- 1810 - 2","CONTECON - CIMA","ENTREGADO","12/06/2025","S 1446","DD 774 / CCP 748","","","","","","","","","","","","","","",""
"","ALBERTO -  LOGISTIC PLUS","MEJIA SUCESORES","4368387","CONTECON","64AK5A","11/06/2025","10:00","40 HC - 9552.5 KG / 9552.5 KG"," OOLU8884899 / FCIU9516533","25-16-1786-5001856","WANZL MEXICO","MANZANILLO","QUERETARO","PABLO","19BD1B / 30UW5K, 31UW5K","T - 1811 - 2","CONTECON - CIMA","ENTREGADO","13/06/2025","S 1448","DD 775 / CCP 749","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","708929B","TIMSA","07AX1Y","11/06/2025","13:00","11 PALLETS / 2808 KG","CARGA SUELTA","25-16-3010-5002297","TAURUS","MANZANILLO","QUERETARO","JOSE","07AX1Y","A - 1812","-------","ENTREGADO","12/06/2025","S 1447","DD 776","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","-----","BOD. REAL S","59BF5E","11/06/2025","---","4 PALLETS /  978 KG / SELLO : 183","CARGA SUELTA","REF: W00000323","YAZAKI","LAZARO C","CD HIDALGO","DAGOBERTO CASTELLON","59BF5E","CTA TERCEROS O - LCR 124","-------","ENTREGADO","13/06/2025","SEF 131","SEF CCP 78","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","----","-----","UTTSA","21AX4Y","12/06/2025","7:00","16 PALLETS - 12 CARTONES / 3068 KG","CARGA SUELTA ","REF: S00019262","YAZAKI","LAZARO C","SILAO","ANTONIO PRECIADO","21AX4Y / 95UX4D","C - LCR 123","-------","ENTREGADO","13/06/2025","SEF 132","SEF CCP 77","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","-----","ACCESSA","52BG9A","12/06/2025","16:00","7 PALLETS / 2541.33 KG","CARGA SUELTA","REF: S00019273","YAZAKI","MANZANILLO","SILAO","ROBERTO","52BG9A","I - 1813","-------","ENTREGADO","13/06/2025","SEF 133","SEF CCP 79","","","","","","","","","","","","","","",""
"","FLX LOGISTIC - DANIEL MESTA","ALIANZA ESTRATEGICA","4363957#1","CONTECON","64AK5A","13/06/2025","7:00","40 HC - 4200 KG / 4500 KG ","BSIU9522003 / CSNU7179135","25-16-1641-5005320","RADIADORES FRONTERA","MANZANILLO","CHIHUAHUA","PABLO","19BD1B / 74UT5W , 75UT5W","A - 1805 - 2","17 JUNIO CIMA ","ENTREGADO","16/06/2025","S 1451","DD 772 / CCP 751","","MN FALSO + Estadia cita express ","3000 x Contenedor","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","1974147C","SSA","188EW8","13/06/2025","3:00","40 DC / 13349 KG","CCLU5253370","25-16-3910-5003833","RYDER","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","06BF7E / 81UY2G","N - 1814","CIMA","ENTREGADO","14/06/2025","S 1449","DD 777 / CCP 750","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","----","----","APM","NH4064C","13/06/2025","12:00","20 HC / 2419.20 KG","MSKU7635950 / REF: S00019281","25-51-3624-5318426 / 5318429","YAZAKI","LAZARO C","DURANGO","OSCAR ZUÑIGA","38AV7C / 16UP6N ","N - LCR 125","APM","ENTREGADO","14/06/2025","SEF 134","SEF DD 35 / SEF CCP 80","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","665616F","SSA","90BH1B","13/06/2025","5:00","20 DC - 10240 KG / 10020 KG","FCIU5039319 / BEAU2122685","25-16-3910-5003935","RYDER","MANZANILLO","MONTERREY","ANTONIO PRECIADO","21AX1X / 31US5W , 43UY2G","E -1815 - 2","CIMA","ENTREGADO","15/06/2025","S 1450","DD 778 / CCP 752","","MN Burreo + MN ALmacenajes","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","DEL BRAVO","4376170","CONTECON","90BH1B","13/06/2025","13:00","40 HC - 3360 KG / 20 DC - 2722 KG","NYKU0723842 - ONEU2407769 / REF: S00019300","25-16-3624-5340912","YAZAKI","MANZANILLO","DURANGO","RAMON RUVALCABA","64AK5A / 10UL5N, 59UP9N","R - 1816 - 2","17 JUNIO ALSECONT","ENTREGADO","15/06/2025","SEF 135 / 137","SEF CCP 81","","MN burreo + MNA","","","","","","","","","","","","",""
"","REAL SHIPPING - MONI","BUFET MEXICANO ADUANAS","--","--","30BA6K","14/06/2025","12:00","50 CARTONES / 760 KG","CARGA SUELTA","25-16-3178-5004875","SEOYON","MANZANILLO","MONTERREY","JOSE","30BA6K","F - 1817","-----","-------------","16/06/2025","MANIOBRA EN FALSO","SEF DD 36","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4373799","CONTECON","06BF7E","16/06/2025","6:00","20 DC - 13289 KG / 16001 KG","CSNU2255253- OOLU0109025","25-16-3910-5003871","RYDER","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","06BF7E / 30UW5K, 31UW5K","R - 1818 - 2","CIMA","ENTREGADO","17/06/2025","S 1452 / S 1459","DD 781 / CCP 754","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4373831","CONTECON","64AK5A","16/06/2025","7:00","20 DC - 16199 KG / 40 HC -  17494 KG","CSNU1973220- OOLU4321243","25-16-3910-5003961 / 5003951","RYDER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 10UL5N , 81UY2G","A - 1819 -2","23 JUNIO - CIMA - 26 JUNIO","ENTREGADO","18/06/2025","S 1453 / S 1455","DD 782 / CCP 755","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4373810","CONTECON","820EP6","16/06/2025","6:00","20 DC - 14835 KG / 16120 KG","OOLU0135615- OOLU2937374","25-16-3910-5003870","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B / 31US5W, 43UY2G","C - 1822 -2","23 JUNIO - CIMA","ENTREGADO","19/06/2025","S 1456","DD 780 / CCP 757","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4373857","CONTECON","38AV7C","16/06/2025","7:00","20 DC - 15438 KG / 16216 KG","CSLU2254835- XYLU1347259 ","25-16-3910-5004054","RYDER","MANZANILLO","MONTERREY","RAMON RUVALCABA","64AK5A / 75UT5W , 74UT5W","O - 1823 - 2","21 JUNIO - CIMA","ENTREGADO","21/06/2025","S 1457","DD 783 / CCP 759","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4373880","CONTECON","55FA7S","16/06/2025","7:00","20 DC - 15470 KG / 14097 KG","CXDU2361600 / DFSU1329226 ","25-16-3910-5004053","RYDER","MANZANILLO","MONTERREY","ANTONIO PRECIADO","21AX4Y / 30UW5K, 31UW5K","N - 1824 -2","23 JUNIO - CIMA","ENTREGADO","23/06/2025","S 1460","DD 779 / CCP 760","","","","","","","","","","","","","","",""
"","REAL SHIPPING - MONI","BUFET MEXICANO ADUANAS","1109709","TAP","30BA6K","16/06/2025","12:00","50 CARTONES / 760 KG","CARGA SUELTA / REF: S00018776","25-16-3178-5004875","SEOYON","MANZANILLO","MONTERREY","DAGOBERTO CASTELLON","30BA6K","F - 1817","------"," ENTREGADO","17/06/2025","SEF 136","SEF DD 36","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","---","----","MDM","64AK5A","17/06/2025","--","40 HC / 26 TON","TIIU4954681","25-16-3879-5004020","A DE COCO","MANZANILLO","GUADALAJARA","RAMON RUVALCABA","64AK5A / 59UP9N","B - 1820","18 JUNIO- CIMA "," ENTREGADO","18/06/2025","S 1454","CCP 756","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","----","ACCESSA","07AX1Y","17/06/2025","17:00","13 PALLETS , 6 CARTONES / 4906.97 KG","CARGA SUELTA","REF: S00019328","YAZAKI","MANZANILLO","SILAO","JOSE","07AX1Y","A - 1821","-----","ENTREGADO","18/06/2025","SEF 138","SEF CCP 83","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","----","----","APM","52BG9A","20/06/2025","---","3 PALLETS / 576 KG","CARGA SUELTA / REF: S00019346","25-51-3624-5318431","YAZAKI","LAZARO C","DURANGO","JOSE","52BG9A","T - LCR 126","------","ENTREGADO","21/06/2025","SEF 139","SEF DD 39 / SEF CCP 84 y 85","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","669981F","SSA","19BD1B","18/06/2025","8:00","20 DC - 15259 KG / 15541 KG","TIIU2449124 / TIIU2464875","25-16-3910-5003912","RYDER","MANZANILLO","MONTERREY","OSCAR","38AV7C / 31US5W, 43UY2G","I - 1827 - 2","26 JUNIO - CIMA - 26 JUNIO","ENTREGADO","23/06/2025","S 1461","DD 784 / CCP 761","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GAMAS TRADE","4381565","CONTECON","06BF7E","20/06/2025","7:00","40 HC / 10705 KG","SEKU5702929","25-16-3711-50015982","DSV","MANZANILLO","MEXICO","ANTONIO ZUÑIGA","06BF7E / 16UP6N","T - 1825","21 JUNIO - CIMA - 23 JUNIO","ENTREGADO","21/06/2025","SEF 140","SEF DD 38 / SEF CCP 86","CON REPARTO","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","1999427C","SSA","38AV7C","20/06/2025","12:00","20 DC / 18 TON","PCIU0124167","25-16-3879-5004395","A DE COCO","MANZANILLO","TECOMAN","OSCAR ZUÑIGA","38AV7C / 59UP9N","A - 1826","21 JUNIO -IMPALA - 27 JUNIO ","ENTREGADO","21/06/2025","S 1458","DD 785","","","","","","","","","","","","","","",""
"","YOKONDA","WELLDEX","----","---","19BD1B","23/06/2025","---"," 40 HC- 17720  / 10300 KG","SKHU9603713 / TCNU8407826","25-16-3200-5013702","KARCHER","MANZANILLO","MONTERREY","PABLO","19BD1B / 10UL5N, 81UY2G","N - 1828 - 2","MANIOBRA EN FALSO","-------------","-----","----","DD 786","------","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","----","MDM","06BF7E","23/06/2025","13:00","40 HC / 26 TON","TIIU4996347","25-16-3879-5004048","A DE COCO","MANZANILLO","GUADALAJARA","ANTONIO ZUÑIGA","06BF7E / 16UP6N","E - 1829","24 JUNIO - CIMA - 25 JUNIO","ENTREGADO","24/06/2025","S 1462","CCP 762","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4389857","CONTECON","77AP5V","24/06/2025","7:00","20 DC / 15187 KG","CSNU1166531","25-16-3910-5004108","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B / 30UW5K, 31UW5K","R - 1830","CIMA","ENTREGADO","26/06/2025","S 1463","CCP 764","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4389810","CONTECON","19BD1B","24/06/2025","7:00","20 DC - 14458 KG / 14945 KG","FCIU5758689 / CAIU6108524","25-16-3910-5004102","RYDER","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","06BF7E / 59UP9N, 74UT5W","A - 1833 - 2","28 JUNIO - CIMA - 30 JUNIO","ENTREGADO","27/06/2025","S 1464","CCP 766","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4389806","CONTECON","64AK5A","24/06/2025","7:00","20 DC - 15020 KG / 9599 KG","UETU2928783 / OOLU0668975","25-16-3910-5004039/ 5004014","RYDER","MANZANILLO","MONTERREY","ANTONIO PRECIADO","21AX4Y / 31US5W , 43UY2G","B - 1834 - 2","28 JUNIO - CIMA - 29 JUNIO","ENTREGADO","27/06/2025","S 1465","CCP 767","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","4389830","CONTECON","21AX4Y","24/06/2025","7:00","20 DC - 17014 KG / 16939","CSNU1927538 / OOLU0263452","25-16-3910-5004105 / 5004110","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B / 30UW5K, 31UW5K","F -1831-2","CIMA","ENTREGADO","26/06/2025","S 1466","CCP 765","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","WOODWARD Y VALDEZ","---","APM","NH4274C","25/06/2025","16:00","  20 DC / 2183 KG","GESU3912547/ REF: S00019411","25-51-3624-5318433","YAZAKI","LAZARO C","DURANGO","RAMON RUVALCABA","64AK5A / 81UY2G","A - LCR 127","APM","ENTREGADO","26/06/2025","SEF 141","SEF DD 40 / SEF CCP 87","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","5174722","OCUPA","38AV7C","25/06/2025","17:00","40 RF - 27810 KG  / 27810 ","YMLU5430965 / YMLU5450909 ","25-16-3879-5004404","A DE COCO","MANZANILLO","ARMERIA","PISO PUERTO","PEDI REPROGRAMACION DE CITA","","LA UNIDAD NO SE FORMO","-------------","26/06 - 27/06/2025","burreo","","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","----","MDM","38AV7C","26/06/2025","----","40 HC / 26 TON","EGHU9463499","25-16-3879-5004048","A DE COCO","MANZANILLO","GUADALAJARA","DANIEL HERNANDEZ","38AV7C / 16UP6N","R - 1832 ","CIMA ","ENTREGADO","27/06/2025","S 1467","CCP 768","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","WOODWARD Y VALDEZ","----","APM VIP","NA8906D","26/06/2025","2:00","20 DC / 1721 KG","HMMU2034904 / REF:S00019441","25-51-3624-5318433","YAZAKI","LAZARO C","DURANGO","RAMON RUVALCABA","64AK5A / 81UY2G","I - LCR 128 ","CIMA","ENTREGADO","28/06/2025","SEF 142","SEF DD 41 / SEF CCP 88","","","","","","","","","","","","","","",""
"","YOKONDA","----","----","----","30BA6K","26/06/2025","12:00","1 CAJA / 268 KG","CARGA SUELTA","REF: S00598984","RYDER","MANZANILLO","MONTERREY","ROBERTO","30BA6K","A - 1835","-------","ENTREGADO","28/06/2025","S 1468","CCP 769","","","","","","","","","","","","","","",""
"","YOKONDA","WELLDEX","5168280","OCUPA","88BK5H","27/06/2025","7:00"," 40 HC - 17720  / 10300 KG","SKHU9603713 / TCNU8407826","25-16-3200-5013702","KARCHER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 10UL5N, 75UT5W","N - 1828 - 2 ","30 JUNIO - ALMAN - 02 JULIO","ENTREGADO","30/06/2025","S 1469","DD 786 / DD 787","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","---","BOD. REAL S","07AX1Y","28/06/2025","----","12 PALLETS / 1865 KG","CARGA SUELTA / SELLO: 189","REF: W00000372","YAZAKI","LAZARO C","CD HIDALGO","JOSE","07AX1Y","N - LCR 129","----","ENTREGADO","30/06/2025","SEF 143","SEF CCP 89","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","----","MDM","19BD1B","30/06/2025","--","40 HC / 26 TON","EITU1781283","25-16-3879-5004050","A DE COCO","MANZANILLLO","GUADALAJARA","PABLO","19BD1B / 30UW5K","C - 1836","01 JULIO - CIMA - 02 JULIO","ENTREGADO","01/07/2025","S 1470","CCP 770","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","5178471","OCUPA","06BF7E","01/07/2025","9:00","40 RF - 27810 KG  / 27810 ","YMLU5430965 / YMLU5450909 ","25-16-3879-5004404","A DE COCO","MANZANILLO","ARMERIA","ANTONIO PRECIADO / FERNANDO MEZA","21AX1Y - 16UP6N / 38AV7C -31UW5K","O - 1837-1 / O - 1837 - 2","03 JULIO - IMPALA - 04 JULIO / 07 JULIO- IMPALA -  8 JULIO","ENTREGADO","02/07 - 04/07/2025","S 1472 / S 1473","","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GAMAS TRADE","4406538","CONTECON","06BF7E","03/07/2025","16:00","40 HC - 5336.9 KG / 10348 KG","CSNU7280135 / OOCU9223840","25-16-3711-5001598 / 5001546","DSV ","MANZANILLO","MEXICO ","ANTONIO ZUÑIGA","06BF7E / 10UL5N , 75UT5W","N - 1838 - 2","05 JULIO - CIMA - 07 JULIO","ENTREGADO","04/07/2025","SEF 144","SEF DD 42 / SEF CCP 91","CON REPARTO","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GAMAS TRADE","4407471","CONTECON","188EW8","03/07/2025","17:00","40 HC / 10172 KG","CSNU7338520","25-16-3711-5001505","DSV ","MANZANILLO","MEXICO ","OSCAR ZUÑIGA","88BK5H / 59UP9N","T - 1839","--------","QUEMADA","--------------------------","QUEMADA","SEF DD 43 / SEF CCP 92","-------","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","WOODWARD Y VALDEZ","-----","APM","64AK5A","03/07/2025","14:00","20 HC - 1448 KG  / 40 HC - 5511 KG","TIIU2004308 / HASU5160306","25-51-3624-5318432 / 5318435","YAZAKI","LAZARO C","DURANGO","RAMON RUVALCABA","64AK5A / 31US5W , 16UP6N","E - LCR 130","APM","ENTREGADO","05/07/2025","SEF 145 y SEF 146","SEF DD 44","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","","CONTECON","38AV7C","03/07/2025","16:00","20 DC - 15977 KG / 16474 KG","OOCU0863933 / XYLU1341923","25-16-3910-5004462","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B / 30UW5K , 31UW5K","F - 1845 - 2","08 JULIO - CIMA - 08 JULIO","ENTREGADO","07/07/2025","S 1476","DD 789","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","","CONTECON","19BD1B","03/07/2025","16:00","20 DC - 16418 KG / 16463 KG","OOLU1915560 / CSNU2488698","25-16-3910-5004573","RYDER","MANZANILLO","MONTERREY","ANTONIO PRECIADO","21AX4Y / 43UY2G , 31US5W","A - 1847 - 2","10 JULIO - CIMA - 11 JULIO","ENTREGADO","09/07/2025 5 PM","S 1480","DD 790 / CCP 776","","","","","","","","","","","","","","",""
"","YOKONDA","SEGROVE","","CONTECON","88BK5H","03/07/2025","16:00","20 DC - 11168 KG / 15714.5 KG","TRHU2528402 / TIIU2235312","25-16-3910-4011457","RYDER","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","06BF7E / 81UY2G, 10UL5N","R - 1846 - 2","09 JULIO - CIMA - 10 JULIO","ENTREGADO","08/07/2025","S 1478","DD 791","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","-----","MDM","21AX4Y","03/07/2025","9:00","40 HC / 26 TON","PIDU4057460","25-16-3879-5004420","A DE COCO","MANZANILLO","GUADALAJARA","ANTONIO PRECIADO","21AX4Y / 81UY2G","A - 1840","04 JULIO  - PTD LOGISTICS - 5 JULIO","ENTREGADO","04/07/2025","S 1474","CCP 771","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","2031029C","SSA","19BD1B","04/07/2025","12:00","20 DC / 14781.5 KG","TCKU2908488","25-16-3957-5001529","PHOTOPIA","MANZANILLO","MEXICO","PABLO ","19BD1B / 43UY2G ","N - 1842","07  JULIO - CIMA - 08 JULIO","ENTREGADO","05/07/2025","S 1475","DD 788 / CCP 773","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","WOODWARD Y VALDEZ","-----","----","59BF5E","04/06/2025","9:00","3 PALLETS  / 575 KG","CARGA SUELTA","25-51-3624-5318435","YAZAKI","LAZARO C","DURANGO","ROBERTO","59BF5E","CTA TERCEROS R - LCR 131","------","ENTREGADO","05/07/2025","SEF 147","SEF CCP 90","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----","-----","ACCESSA","88BK5H","04/07/2025","11:00","9 PALLETS / 5035.29 KG","CARGA SUELTA","REF:  S00019533","YAZAKI","MANZANILLO","SILAO","FERNANDO MEZA","38AV7C / 263YJ6","E - 1843","------","ENTREGADO","07/07/2025","SEF 149","SEF CCP 93","","","","","","","","","","","","","","",""
"","ONEBOX","----","-----","----","52BG9A","04/07/2025","---","3 PALLETS / 1858 KG","CARGA SUELTA","EXPO / REF: 11223-25","UPL","COAHUILA","MANZANILLO","JOSE","52BG9A","I - 1841","TAP ","ENTREGADO","07/07/2025","S 1477","CCP 772","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","WOODWARD Y VALDEZ","-----","----","88BK5H","05/07/2025","1:00","20 DC / 3864 KG","MRKU8516960 / REF: S00019526","25-51-3624-5318435 / 5318432","YAZAKI","LAZARO C","DURANGO","OSCAR ZUÑIGA","88BK5H / 59UP9N","F  - LCR 132","APM","ENTREGADO","06/07/2025","SEF 148","SEF DD 45","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","---","----","ACCESSA","21AX4Y","05/07/2025","9.00","17 PALLETS / 6611.21 KG","CARGA SUELTA","REF: S00019535","YAZAKI","MANZANILLO","SILAO","ANTONIO PRECIADO","21AX4Y / 95UX4D","R - 1844","------","ENTREGADO","07/07/2025","SEF 150","SEF CCP 94","","","","","","","","","","","","","","",""
"","ALEJANDRO GLZ -  LOGISTIC PLUS","GAMAS TRADE","2037422C","SSA","77AP5V","07/07/2025","11:00","40 HC / 3841.2 KG","TCLU4533691","25-16-3711-5054646","ZAT LOGISTIC","MANZANILLO","MONTERREY","OSCAR ZUÑIGA"," 88BK5H / 74UT5W","B - 1848","5 JULIO - CIMA - 10 JULIO","ENTREGADO","09/07/2025","S 1479","DD 792 / CCP 775","","","","","","","","","","","","","","",""
"","IVAN - A DE COCO","ALIANZA ESTRATEGICA","4413873","CONTECON","188EW8","07/07/2025","7:00","40 RF/ 26 TON","MEDU9067245 /REF: AZLO25004083","25-16-3879-5004728","A DE COCO","MANZANILLO","GUADALAJARA FRI","RAMON RUVALCABA","64AK5A / 75UT5W","A - 1849","09 JULIO - ISL - 10 JULIO","ENTREGADO","09/07/2025","S 1481","DD 793 / CP 777","","","","","","","","","","","","","","",""
"","LAURA CRUZ - REAL SHIPPING","GAMAS TRADE","4407471#1","CONTECON","66BK5H","08/07/2025","9:00","40 HC / 10172 KG","CSNU7338520 / REF: S00019106","25-16-3711-5001505","DSV ","MANZANILLO","MEXICO ","PABLO","19BD1B / 30UW5K","T - 1839","10 JULIO - CIMA - 10 JULIO","ENTREGADO","09/07/2025","SEF 151","SEF DD 43 / SEF CCP 92 Y 95","SIN REPARTO PEND","","","","","","","","","","","","","",""
"","ALEJANDRO GLZ -  LOGISTIC PLUS","OÑATE WILY Y CIA","","MULTIMODAL","52BG9A","08/07/2026","14:00","6 PALLETS / 751 KG","CARGA SUELTA / REF: S00587709","25-16-3503-5005789","SAFRAN AIRCRAFT ENGINE","MANZANILLO","QUERETARO","ROBERTO","52BG9A","C - 1850","-------","ENTREGADO","09/07/2025","S 1482","DD 795 / CCP 778","","","","","","","","","","","","","","",""
