"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"59","LOGISTIC PLUS - DIEGO","RB GROUP","2681940","CONTECON","19AT6G","7/6/2022","7:00","45 G0/7530 KG","TGBU9990260","22-16-3171-2001182","THERMOTEK","MANZANILLO","SILAO, GTO","PABLO","38AV7C","649","CIMA","ENTREGADO","08/06/2022","S 026","","","","","","","","","","","","","","","",""
"60","EXIMICS","IAB LOGISTICA","2683899","CONTECON","188EW8","8/6/2022","14:00","45 G0  / 17740 KG","FFAU3389250","22-16-1852-2004150","ARCADIA EXIMICS","MANZANILLO","GUADALAJARA","FIDEL","64AK5A","651","TIMSA","ENTREGADO","10/06/2022","S 029","","","","","","","","","","","","","","","",""
"61","LOGISTIC PLUS - DIEGO","WELLDEX","4612758","SSA","38AV7C","10/6/2022","9.00","40 HC / 9319 KG","PCIU9463691","22-16-3200-2007376","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","653","IMPALA","ENTREGADO","14/06/2022","S 031","","","","","","","","","","","","","","","",""
"62","LOGISTIC PLUS - DIEGO","WELLDEX","2687523","CONTECON","19AT6G","10/6/2022","5:00","45 00 / 17750 KG","TEMU6173591","22-16-3200-2007315","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","652","ISL","ENTREGADO","13/06/2022","S 030","","","","","","","","","","","","","","","",""
"63","-","WOODWARD","4617760","SSA","19AT6G","14/6/2022","6:00","40 DC/ 5560 KG","SEGU5948559","22-16-3719-2008980","PANASONIC","MANZANILLO","APODACA/ NL","TOÑO","19AT6G","654","CIMA","ENTREGADO","15/06/2022","S 032","","","","","","","","","","","","","","","",""
"64","REAL SHIPPING - MONI","JOFFROY","551547B","TIMSA","07AX1Y","14/6/2022","12:00","9849 KG","CARGA SUELTA","22-16-3714-2000148","DEMATIC","MANZANILLO","MONTERREY","JORGE","07AX1Y","655","------","ENTREGADO","15/06/2022","S 033","","","","","","","","","","","","","","","",""
"65","REAL SHIPPING - MONI","JOFFROY","526955V","TIMSA","64AK5A","15/6/2022","12:00","    20 DC/40 DC /24140 KG","EMCU3925470/TGHU5143167","22-16-3714-2000140","DEMATIC","MANZANILLO","MONTERREY","FIDEL","64AK5A","658","CIMA","ENTREGADO","17/06/2022","S 035/ 036","","","","","","","","","","","","","","","",""
"66","WELLINGTON","RB GROUP","3437780","OCUPA","93AP1E","15/6/2022","10:00","1923 KG","CARGA SUELTA","22-16-3708-2000686","ARGO","MANZANILLO","QUERETARO","RUBEN","93AP1E","657","------","ENTREGADO","17/06/2022","S 037","","","","","","","","","","","","","","","",""
"67","LOGISTIC PLUS - DIEGO","WELLDEX","2693334","CONTECON","38AV7C","15/6/2022","6:00","45 00 / 18617 KG","TCKU6739025","22-16-3200-2007365","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","661","CIMA","ENTREGADO","21/06/2022","S 039","","","","","","","","","","","","","","","",""
"68","LOGISTIC PLUS - DIEGO","WELLDEX","2693330","CONTECON","109EN4","15/6/2022","8:00","45 00 / 13211 KG","TTLU4166505","22-16-3200-2007320","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","660","CIMA","ENTREGADO","20/06/2022","S 040","","","","","","","","","","","","","","","",""
"69","LOGISTIC PLUS - DIEGO","UNITRADE","4620840","SSA","188EW8","16/6/2022","8:00","40 HC /10226 KG","ONEU0346303","22-16-3451-2005786","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","659","SSA","ENTREGADO","17/06/2022","S038","","","","","","","","","","","","","","","",""
"70","LOGISTIC PLUS - CYNTHIA","RB GROUP","3441187","OCUPA","188EW8","17/6/2022","9:00","40 HC / 7530 KG","UETU5955463","22-16-3171-2001183","THERMOTEK","MANZANILLO","ABASOLO/NL","FIDEL","64AK5A","666","CIMA","ENTREGADO","22/06/2022","S045","","","","","","","","","","","","","","","",""
"71","LOGISTIC PLUS - CYNTHIA","RB GROUP","3441714","OCUPA","395EK8","17/6/2022","11:00","40 HC / 19953 KG","FCIU9913084","22-16-3171-2001311","THERMOTEK","MANZANILLO","ABASOLO/NL","PABLO","38AV7C","664","CIMA","ENTREGADO","22/06/2022","S 044","","","","","","","","","","","","","","","",""
"72","LOGISTIC PLUS - DIEGO","UNITRADE","4624952","SSA","109EN4","18/6/2022","8:00","40 HC / 13672 KG","NYKU5206400","22-16-3451-2005785","DAIKIN","MANZANILLO","SAN LUIS POTOSI","PABLO","38AV7C","662","SSA","ENTREGADO","20/06/2022","S 041","","","","","","","","","","","","","","","",""
"73","WELLINGTON","RB GROUP","4625969","SSA","19AT6G","20/6/2022","9:00","40 DC / 2503 KG","MRKU1042196","22-16-3708-2000696","ARGO","MANZANILLO","QUERETARO","TOÑO ","19AT6G","663","SSA","ENTREGADO","21/06/2022","S 042","","","","","","","","","","","","","","","",""
"74","REAL SHIPPING - MONI","JOFFROY","54458","MULTIMODAL","FE9713A","21/6/2022","9:00","448 KG","CARGA SUELTA","22-16-3714-2000141","DEMATIC","MANZANILLO","MONTERREY","JORGE","FE9713A","665","------","ENTREGADO","22/06/2022","S 043","","","","","","","","","","","","","","","",""
"75","LOGISTIC PLUS - DIEGO","UNITRADE","527932V","TIMSA","","23/6/2022","5:00","40 HC / 5536 KG","EMCU8927434","22-16-3451-2006072","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","669","ISL","ENTREGADO","24/06/2022","S 047","","","","","","","","","","","","","","","",""
"76","LOGISTIC PLUS - CYNTHIA","RB GROUP","7784332","SSA","19AT6G","25/6/2022","10:00","40 HC / 7530 KG","TLLU5949207","22-16-3171-2001392","THERMOTEK","MANZANILLO","SILAO, GTO","PABLO","38AV7C","671","SSA","ENTREGADO","29/06/2022","S 050","","","","","","","","","","","","","","","",""
